year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1960,21554,474228,289299,36737,2631000,481892,17406,155,4982,37861,96116,292,37943,77688,1526280,441137,1359138,1846407,5066112,53748,61535,59784,174368,34957,102979,525949,289582,127507,197407,169295,25629,20514,1558915,22267,204924,901866,2070154,190489,2391314,2951,81969,15866,287803,12058639,389409,824357,17339,431849,64968,3236932,1018033
1961,56144,474778,291209,35506,2619873,478635,17076,163,5101,36625,94691,258,34859,70403,1506363,427978,1362750,1730495,5366296,62700,58541,56575,195549,32478,107617,542470,301653,120692,213996,172419,23327,20749,1579963,20439,266311,862418,2140395,188915,2261642,3011,76284,15196,283981,12208006,373419,887666,15369,458873,60619,3091375,1087707
1962,82748,484723,282213,35003,2692352,442430,15937,166,5134,38296,96771,214,38919,73984,1599366,444556,1415341,1873860,5692599,61608,59310,55672,185151,34382,101804,545190,299932,127402,228050,174605,25119,21199,1583346,22551,292252,909007,2376618,197646,2301643,3139,73455,18232,301330,12357635,359952,864865,15682,480508,61695,3227721,1067807
1963,87933,469027,284502,36668,2844641,429188,16253,148,5356,41351,103171,446,38456,73227,1644923,429887,1444910,2072250,6118492,63943,66539,58874,181893,32337,100752,563334,290340,116481,234429,155918,24450,23397,1614649,20488,280859,973973,2554107,199225,2498450,3221,69832,33031,280926,12693749,377875,890108,13995,517358,55114,3576720,1130426
1964,90198,541262,281323,36786,2832949,432566,16703,138,5510,42666,118296,1429,32894,76892,1688871,424814,1467960,2214380,6408290,68314,67606,55936,180543,33879,100407,556744,292449,131745,248142,137667,23707,23947,1737669,19321,266024,1043677,2656290,215793,2589333,3533,88026,35078,292122,13123816,365533,920711,13500,558451,54980,3797124,1123168
1965,94316,532429,287541,53947,3009585,445815,15500,120,5577,48551,108022,1265,36702,79778,1727593,436816,1486838,2287906,6733987,67043,70063,51675,181735,36480,111172,537412,324635,123608,260618,125777,22019,23693,1840331,18756,284204,1074454,2662486,230410,2634463,3561,78226,42866,285439,13319750,345589,987837,14396,582426,61690,3998639,1126810
1966,117440,516640,303926,62173,3166379,466768,16243,111,5852,53480,109456,1309,36164,81379,1835384,472286,1534931,2454101,7409292,70690,73745,55812,181431,36529,109212,521326,338521,114335,283697,106103,24343,23570,1931188,21412,310674,1165689,2813110,232649,2621372,3771,68551,53056,287103,13954680,326863,1030130,15557,629703,60892,4014572,1120164
1967,206394,566870,293088,74733,3339342,452975,24128,112,5783,53810,109475,1389,32480,82252,1845021,504437,1534889,2634602,8238870,72890,83166,58337,178838,34010,110162,511035,337477,118616,282231,101240,24089,23695,2035679,20603,330339,1219004,2915788,243110,2555536,4150,66271,54570,318963,14492080,298479,1058430,15167,702293,61003,4116845,1124352
1968,421678,577172,344571,83935,3394928,449214,52598,120,6594,58250,106371,1657,34337,80804,1771565,491358,1471659,2637589,8654093,75857,85262,59840,181267,33994,107156,516649,413330,117146,282773,100597,25155,24678,2160737,20714,346053,1285783,2865899,271743,2441031,4266,69381,60912,336718,14918671,295292,1066326,15086,783235,65830,3945463,1185666
1969,499135,604552,349632,83154,3463378,425650,59867,108,7073,61596,105812,1773,33900,76228,1788706,523314,1489740,2817286,9097934,77225,81141,61658,171988,34190,109822,544165,427167,119495,267289,92848,27816,26536,2154030,20064,365937,1361204,3039747,350230,2477562,4428,73251,68335,335115,15411603,303722,1031540,16109,814247,62804,3829011,1322567
1970,615010,679413,355074,83347,3309614,405522,58859,113,7021,68429,98222,1559,36465,85735,1776784,568289,1492430,3231222,9358093,78316,93491,59420,169325,32822,127720,542511,429035,111796,275962,89310,25321,63823,2202887,19186,382753,1453233,3120462,371350,2533825,5268,65140,71113,347124,16540958,298075,1025855,14717,825416,60038,3956963,1436717
1971,603476,644188,343114,107529,3171475,414723,104379,116,7673,82196,109007,1283,35516,89445,1612162,543204,1437080,3077441,9224533,76801,91095,55423,156564,48874,116039,528345,469197,128148,281715,78774,24733,68077,2200186,19307,406058,1379916,3149402,419311,2293850,4851,104730,83910,388305,16610783,304112,907281,14594,863413,99388,3288820,1427472
1972,569639,736766,340242,146644,2950561,451167,106643,118,8190,172514,114745,1491,34811,92776,1841615,645110,1419001,3108321,8617101,75482,97878,60468,192444,74100,125813,495255,483873,135756,279063,71764,26131,76562,2209379,17854,427421,1386992,3259681,435930,2334279,4934,129188,79609,457040,17208895,324270,1008832,17783,928962,101193,3404199,1430181
1973,572433,718192,354585,155841,2929359,509617,68780,114,8483,336544,125605,1528,27988,97216,1771656,614098,1371084,3247791,8276311,112330,95857,101187,212092,72106,134779,461159,537122,142789,270527,70102,30671,69377,2147859,18913,453762,1225255,3126958,351043,2272238,5108,151111,53129,376109,17050819,385625,1016281,34570,884538,132712,3239348,1506994
1974,560526,807059,316856,228968,2881853,542152,111459,129,8466,396441,122068,1550,43130,111472,1675228,575209,1326250,3442113,7226422,89155,103837,104156,232484,84593,133820,407660,620787,139607,280144,102420,28694,74097,2158864,18511,476780,1192547,2931711,432867,2405284,5023,203301,63259,359687,16502656,438604,1001866,43842,1033339,157765,2867834,1566409
1975,589104,867537,346928,239058,2790159,593095,111827,131,7901,444752,159348,1498,54089,118011,1716962,601302,1259354,3620319,6162377,94961,163326,110009,375990,144321,147975,378461,742697,155305,294258,119114,25853,65594,2100131,19494,512104,1208179,2784497,417411,2600513,4050,302097,86697,371050,15583828,484722,1059319,55580,1032431,179422,2980200,1556329
1976,557265,845007,332384,317800,2686279,642517,160076,146,9607,475022,185494,1663,54929,121380,1752724,611331,1241450,3665918,5705547,100977,192894,135595,469148,145114,156456,375246,842098,164716,341510,119497,31050,77679,2116009,18287,555822,1228613,2889971,457596,2693102,4704,280539,77423,385042,15124174,454874,1189016,55339,1144321,188020,2980109,1692809
1977,1195252,1056876,361643,322606,2735937,711939,165981,158,10161,589341,181782,1355,58106,85968,1660741,671646,1194865,3684614,5432860,102928,247182,128075,505071,156936,163233,371398,823083,207562,347501,134156,31271,113451,2095846,22215,579470,1283144,2990199,397686,2656276,5295,266529,60799,402678,14716565,468195,1132028,57470,901856,192382,2633144,1969151
1978,2829123,1096628,372965,282521,2956925,734449,178065,193,10667,592188,187805,1143,41336,119334,1607672,595370,1269842,3450392,5315113,128621,237373,133471,581747,177059,161424,390886,832730,267673,395143,137759,31004,131035,2076862,25685,611301,1195158,2966285,425750,2624006,6577,296747,77846,403661,13652863,466792,1052520,55961,1123772,218985,2354902,2202712
1979,3210998,1218659,351545,337892,2916969,826323,167591,210,8729,587969,205226,1258,62098,113729,1785561,677128,1214750,3820775,4773172,140410,233867,125825,627428,179093,183840,403546,933981,265719,432242,149651,33548,115019,2134541,26967,590397,1278865,2998699,436189,2817136,7124,289748,73636,421332,13741121,519387,1141733,59861,1022098,206051,3105940,2468445
1980,3684570,1332307,382605,363380,2999601,836713,172842,2849,2472,590747,236053,12808,96795,113407,1886841,756592,1175714,3863932,4403760,107750,254802,169165,661725,164168,140305,427539,876249,198907,538864,121789,32382,131576,2112002,32507,635743,1227811,3099268,459978,2754247,7287,261030,69403,410631,13294899,571908,1281987,55378,1057170,295424,3325747,2898616
1981,3673128,1276653,375352,351173,3071793,870202,182655,2311,2006,499530,202508,13571,104261,115694,1707156,725449,1118860,4125988,4152387,120930,279835,187270,666603,168952,130685,426710,974501,177049,582456,125301,36067,183186,2079811,25854,627581,1234539,3284999,499664,2590731,6645,243288,65375,453710,12864237,590916,1389484,64187,1172097,303842,3159567,3039593
1982,3876802,1420717,400516,369985,3337623,854097,192310,3654,3170,508014,217014,13379,102946,137242,1906472,785360,930711,3936511,3786731,112852,260009,177007,636051,171841,154537,409682,864922,244359,606771,158247,33759,204666,1934869,22265,578391,1220791,3249766,614175,2510743,6053,214820,69312,489846,12176971,640547,1342331,68888,1115936,309127,3558750,3040723
1983,3928071,1343951,422558,429319,3502204,764482,174555,2563,2224,401142,235880,14920,105350,152250,1872994,792648,949490,3453808,3422307,144711,258561,202740,644039,190814,147337,383837,883944,284453,660963,125646,38209,129314,1850356,51890,637603,1218392,3048113,614386,2259527,7401,354360,70236,519810,11524121,540203,1237990,57852,1106258,319059,3195062,3162298
1984,3976402,1435784,459031,444544,3587630,796835,196037,3226,2927,477698,218782,15372,117185,156347,2101546,914373,1006534,4190727,3537172,76253,287066,194880,608173,156306,196579,406004,948809,379256,710853,123800,35004,109641,1968444,74118,670047,1372227,3380620,644766,2565987,4946,332214,73511,533095,11822952,596237,1376564,62206,1102341,331981,3625025,3598162
1985,4235177,1320803,486415,397320,3635369,797273,175409,3327,3019,446518,253809,15307,110943,132508,2055138,834937,1088348,4032072,3166360,130594,235288,192916,564475,189395,263026,423587,946257,341806,767860,110034,33807,238434,1946237,67608,710139,1259636,3292100,607232,2443579,5081,404650,71685,464327,11748188,653198,1453516,58749,1074995,334387,3555894,3688366
1986,4302636,1211898,416083,536812,3648616,731806,232990,3047,2765,420831,218287,17315,148713,146627,2147799,829471,1029975,4068328,3377900,95246,288028,188803,541400,180757,222511,411509,949524,328722,700625,149578,38742,197788,1690121,68958,698546,1241913,3178237,612360,2568891,4653,466664,75446,334524,11381901,686226,1430255,45647,1107104,280195,3600706,3552797
1987,4592698,1223046,435320,515728,3424311,700886,245290,2226,2162,366660,305371,18834,154433,101722,2152415,858033,1016377,4321937,3290383,72141,252004,158593,581425,179556,195604,431969,923391,433531,675224,150132,34985,275599,1770124,46549,670002,1285494,3205980,526399,2469421,3302,505923,72713,341748,10842369,721568,1489365,60059,980603,270951,3792112,3787108
1988,4752822,1262402,441834,616440,3342016,787764,270312,2378,2310,450315,299310,20427,163134,87512,2355696,798991,1085945,4180229,3282121,73676,252736,171221,610786,190489,226732,436342,988082,424322,717548,129818,36549,295141,1773260,42653,649352,1257326,3260284,541864,2524864,3528,514420,73093,359942,10860430,769564,1564786,65319,983317,278706,4051030,4109892
1989,4446809,1360061,456854,450325,3409263,821590,243075,2511,2516,509630,482467,28875,133347,124650,2383997,836262,1109687,4402357,3165107,98739,168772,227889,640965,179176,196194,424510,964479,476814,691045,142874,40566,278626,1843186,48889,644730,1254402,3233104,540346,2550415,3806,528627,66136,538388,10536806,797646,1421430,58189,1002024,238459,4242353,4360348
1990,4232243,1341945,468832,564631,3278511,875376,243985,1283,1653,473948,497899,27937,128088,119510,2344501,875212,1060694,4578095,3137054,118910,151816,203066,632372,188338,182406,418688,970497,442851,689546,132716,90006,277680,1973469,52932,669114,1232801,3224919,554563,2734808,4499,559868,54866,475365,10578173,871023,1648621,57751,1146162,221357,4686846,4663386
1991,4348221,1376048,471492,644029,3252370,919976,163251,1345,1734,463646,499665,27516,142166,116020,2341269,779653,1120060,4229953,3092042,112886,231863,222937,705115,189671,184541,454192,999727,455078,686743,136602,112058,296065,2006033,58812,703196,1163958,3083787,502821,2567627,4585,559611,54098,467007,10605769,842309,1503983,60381,1134146,223493,4648097,4823659
1992,4194115,1484738,496959,632315,3186998,976367,214533,1412,1784,536395,527634,26800,141569,95133,2366626,758583,1143387,4290983,3046772,118086,242324,215139,609576,186426,181313,419139,963801,397954,695643,144130,124603,264744,2306066,58440,674568,1155351,2923945,424764,2707106,4840,587462,51570,426799,10460686,841376,1540031,55119,945935,226270,4489890,4815970
1993,3892714,1484135,534466,586831,3205302,1115078,268117,1946,2492,532995,526056,27830,143682,126225,1975493,723408,1144542,4132254,3082236,115323,263240,218444,701882,196006,152953,389800,916242,406871,690884,124099,137475,298897,2532532,51512,727484,1035810,2937860,418080,2430753,5181,595393,40263,269548,10248337,913668,1443699,53659,941503,225024,3612655,4871978
1994,3970248,1637316,514452,624857,2985963,1236752,251155,1849,2422,540526,543173,25405,157845,106699,2166775,756796,1169848,4268629,3027591,113807,263336,226053,559940,199866,160243,378302,995606,524888,679072,122991,105198,272757,2619921,48955,737536,1094231,2779249,371346,2576280,5066,579392,66965,391608,10325858,1011997,1428205,64174,921648,227126,4445565,5356492
1995,3738081,1649237,494519,650960,3090651,1336570,243139,1851,2476,564446,571269,24608,152312,139907,2121662,647010,1181612,4067394,3054780,119681,281907,162961,682297,215245,136093,392487,989183,546020,658547,149767,127522,219825,2679395,48124,688659,1048593,2609943,469164,2540891,5079,641366,75271,416393,10230734,996764,1355517,59708,1093387,226815,4456954,5795313
1996,3559488,1740017,538244,644652,3134700,1344432,121439,1922,2642,553109,571162,24088,160932,164235,1967259,720881,1132218,4025955,3048163,134355,296228,220384,726834,207547,140546,402677,993475,525514,678845,175084,151032,157087,2589149,49258,829663,1072325,2523044,518947,2769453,5562,589421,95485,512947,10245577,1048232,1415647,61766,1239919,230164,4614515,6037209
1997,3333397,1708289,534935,706668,3048689,1468963,49401,1378,2203,518076,581648,22503,153721,179342,1659521,845617,1086108,4092902,3016881,117550,295315,161828,722940,197048,134144,431179,1038139,505382,700187,180676,126018,185275,2659628,53974,819672,1095986,2451349,531821,2899106,4347,603327,105290,509140,10197964,1043496,1425090,64726,1295763,164284,4684923,6171318
1998,3068632,1672165,492843,693183,3191227,1550702,83210,1222,1936,574887,585785,21657,147502,160202,1669293,870583,1004103,3981364,3018040,126196,292575,151240,582380,202676,135540,402163,1056742,566450,692435,171329,128574,323502,2587527,57758,805751,1057204,2383497,455462,3033176,4197,641492,71472,529550,10122789,1040063,1374506,55515,1047355,206741,4639865,6874447
1999,2798849,1577633,461693,691731,3103375,1566496,181747,1259,2001,570519,560061,21767,152225,167747,1957535,812026,908969,3640123,2904411,112387,284199,159186,597923,234564,131382,380835,1048860,531852,696195,190063,129573,342646,2566994,53085,823742,925531,2275708,511189,3038106,4403,627968,80564,498129,9523222,1029156,1345658,63218,1209409,234332,4241685,7303724
2000,2647192,1538212,447383,705103,3067393,1584090,221252,1355,2291,567461,560846,20387,155811,141448,1888998,678282,906013,3413474,2750023,126951,308712,163025,665202,238587,135904,421004,972180,544289,690734,175821,121237,338371,2718824,48347,777276,930383,2273699,437913,2994281,4520,623170,71314,464215,9681342,1038644,1353571,68821,1065124,233384,4338635,7491338
2001,2632078,1483893,462914,684437,2875740,1734179,190925,866,1325,521391,543799,12390,145848,105045,1908738,875592,866244,3484314,2766360,101718,287582,146146,704239,232063,129033,415224,964995,521833,671263,179455,120964,347258,2770329,46738,802150,951065,2290335,351088,2943737,3899,591367,49691,529706,9506523,1055885,1299958,60900,817353,242017,4329720,8294511
2002,2659615,1485681,469254,689877,2925843,1924326,184091,881,1314,552372,608531,10453,161701,113779,1912490,854384,836858,3271676,2565822,106961,290409,140385,741478,250113,128691,436130,972017,539009,673055,193440,125950,351010,2707462,42637,816262,799350,2216537,401492,2803409,3700,637467,63264,526517,9272257,972651,1235676,64091,1073719,231538,4047229,8443561
2003,2661422,1520518,478374,643922,2903276,2026044,198795,926,1401,534991,568266,13311,176672,109553,1936013,859937,799242,2983050,2492702,102221,321479,132344,681140,253552,144576,465910,967873,607883,667207,174732,126527,336358,2686076,36446,819276,805661,2179599,385219,2665759,3787,629249,75918,511002,9284751,911961,1339716,70371,1006268,242769,3765398,8585257
2004,2513924,1543168,503228,653418,2762881,2191489,202659,943,1436,526487,578811,13770,225734,112379,1900959,854703,788950,3030331,2508287,113001,334634,136769,733782,264173,135395,403362,1066702,557860,667969,214447,141055,309664,2725571,37014,830912,914358,2313524,385096,2738367,3846,631351,92723,561169,9157193,884095,1312183,62271,1001254,232712,3976804,8996981
2005,2416187,1501696,484985,611617,2808671,2244539,188134,48,955,503061,545522,12938,262511,121084,1898500,840792,754158,3153945,2327276,97938,323805,159674,763437,276408,149814,384286,1145001,562525,690744,201839,139970,347580,2742669,37081,866213,935376,2280774,364535,2699012,879,658748,102808,543466,9383861,986011,1227405,66815,976432,248416,4136737,9151117
2006,2101391,1412191,573639,511641,2801259,2288766,198812,53,873,531971,541711,14004,324353,146507,1920072,845589,778155,3177945,2380899,106392,312136,152339,726250,302498,159834,395985,1204618,553785,724558,211645,131170,361988,2639864,40833,878205,910761,2346405,433653,2675657,2633,630322,123861,476873,9704014,1082599,1282694,80881,1065863,272283,4106187,10057248
2007,2052850,1407337,594920,539027,2618849,2358018,195907,56,1534,513137,542697,15042,389967,125621,1978650,869153,794238,3045205,2396149,91945,245216,155620,771441,322490,169485,415561,1219474,533156,765738,260896,147707,356585,2522370,40124,867436,904409,2452231,397329,2681839,2783,656970,126334,490929,10301722,1080742,1176219,67990,969899,285446,4155555,10411137
2008,1933836,1482306,763130,577334,2520557,2462274,187673,66,2954,544964,505753,15935,468545,133541,2008329,950352,836576,3125525,2307363,104082,263884,182576,674173,354817,193957,420124,1217284,558801,876444,293108,137613,360015,2469039,40434,904735,1049960,2595409,415267,2756993,2969,637570,155956,483874,11314100,1169635,1166570,78193,979117,305538,4189250,10879840
2009,1854325,1448267,1008925,563306,2492519,2491946,203764,51,3580,522495,526743,15838,596764,134502,2087164,973142,815669,2825801,2464486,105785,254089,148204,556573,392471,218695,457610,1080861,576093,1020231,293452,137581,393018,2401553,49292,872514,1047109,2613546,416521,2681076,3568,648469,191168,518764,11082544,1126831,1091831,87639,902225,304495,3734228,10328914
2010,1739474,1429510,1255308,579288,2534508,2557690,205449,119,3842,503399,570805,15285,665133,133887,2125871,1014017,811892,2787102,3173816,112529,253801,159002,635800,431947,207124,448125,1149362,584206,1247321,411720,159178,380036,2248542,51437,842766,1044134,2587961,400176,3078204,3726,658750,221127,508887,11384911,1072384,1104323,82407,918774,343078,3703823,10528548
2011,1643302,1410477,1413394,614926,2637357,2745126,197446,304,4190,485179,556601,16700,723455,178552,2237153,1084639,781702,2849874,3973476,106379,274396,161564,690618,435236,211942,442427,1104781,580983,1514809,387114,133642,390919,2254042,52682,880505,1082528,2749747,518747,3881727,3684,671079,245438,506569,12552823,1127283,1090314,81908,1113821,329269,3823331,10343561
2012,1564474,1443423,1480971,594693,2318553,2918753,205891,301,3604,423491,562493,18313,722719,156518,2488082,1046860,789376,2398841,3790657,111522,245398,157343,634319,431402,214353,391934,1009006,565920,2131567,353135,130434,391273,2309802,58768,816895,1078651,3022511,499318,4741248,2969,655666,242966,466571,14176611,1117469,1048204,78595,1117646,349446,3721479,9603286
2013,1514153,1480955,1450583,591540,2371381,2832428,208515,307,3799,524221,592670,22758,760779,140184,2578519,1118939,822831,2140833,3223888,102312,247902,161720,665810,417717,207759,415823,1105493,612840,2624944,367252,167077,398420,2367478,68479,874805,1158012,3195051,464198,5885791,2703,701178,236044,544324,15675921,1122117,1026045,83954,1016446,328349,3803176,9232597
2014,1475225,1369087,1455084,632093,2386856,3058574,198352,344,4224,536567,607841,24424,770403,156038,2743243,1134642,875525,2071592,2835571,122558,249398,157454,692652,473373,219495,409045,1161401,602460,3254122,431520,161888,383621,2565069,69353,870982,1557347,3726005,486539,7148183,4421,685246,248133,497967,17625786,1171855,985083,85760,1040270,315402,4214048,9358194
2015,1429942,1267004,1331452,615867,2352883,3194117,215318,824,3517,531646,623396,24957,821698,154866,2682250,1038766,850580,1685780,2619950,115022,246381,161418,681571,471848,218848,420420,1090432,610256,3669109,441057,160528,393056,2679324,76979,895110,2088513,4034174,439830,7480950,4886,684526,235620,472899,18071163,1022734,931160,38784,957675,328547,4113828,9080777
2016,1435363,1118407,1127828,593930,2426284,3065494,207612,1107,3105,542192,642967,27593,851005,157946,2435349,928789,791424,1235531,2595078,122244,240509,141943,687389,496273,210336,339228,885637,647020,3491242,441834,168841,359115,2563009,90175,863014,2422499,4007728,468959,7794315,4700,714927,245846,485787,17008753,923606,913066,35637,1031454,330423,3791823,7518440
2017,1454196,1230179,989005,621896,2542051,3246984,205458,1316,3269,553568,627576,26964,891620,177723,2524593,990185,822127,1220228,2864519,121256,256180,148038,698809,508930,209676,321569,930429,658771,3698893,440731,164364,401550,2818402,99768,901574,2709522,4173327,502142,8143154,5967,700923,249023,515435,17721412,915007,925794,37792,1035233,325091,4317700,7794586
2018,1410604,1245875,888125,622052,2362317,3633905,214068,1603,3389,565077,647556,26299,916965,181550,2531996,1067776,784661,1154710,3560031,121731,253139,149435,682717,519096,248948,314194,997789,688740,4229317,430748,161340,382890,3441568,107114,903967,3366571,4810343,487523,9040917,6663,698247,261791,575228,20619040,893795,901990,41553,1039226,337996,4746299,7711992
2019,1370342,1250624,837386,563836,2420522,3927798,211902,2002,3611,564385,652601,25273,956633,170508,2467422,983789,772196,1045895,3892819,96924,246996,148456,697242,513444,241027,340476,917020,691705,4710328,455818,169909,327510,4322310,114864,933544,3604541,5111361,426811,9655336,8797,735672,271768,569785,23634727,884243,882858,40997,871660,337188,5160593,7148285
2020,1348969,1205912,782360,481613,2190166,3775295,201489,2147,3571,574876,655962,27957,930348,151734,2160217,710151,759592,756015,3838280,73946,232114,132947,635494,505243,224636,268056,757430,723140,4274952,416814,148723,331078,4673691,116402,839025,3186943,4545564,453865,9492059,11420,732412,268394,591321,23329131,789072,821769,37481,969677,302978,5020189,5884410
